style,abv_,_abv,ibu_,_ibu,og_,_og,tg_,_tg,srm_,_srm
Witbier,4.5,5.5,8,20,1.044,1.052,1.008,1.012,2,4
Gose,4.2,4.8,5,12,1.036,1.056,1.006,1.010,3,4
Wheat,4.0,5.5,15,30,1.040,1.055,1.008,1.013,3,6
Lambic,3.5,5.0,0,10,1.040,1.054,1.001,1.010,3,7
Blond,3.8,5.5,15,28,1.038,1.054,1.008,1.013,3,6
Kolsch,4.4,5.2,18,30,1.044,1.050,1.007,1.011,3.5,5
Tripel,7.5,9.5,20,40,1.075,1.085,1.008,1.014,4.5,7
Saison,5.0,7.0,20,35,1.048,1.065,1.002,1.008,5,14
APA,4.5,6.2,30,50,1.045,1.060,1.010,1.015,5,10
IPA,5.5,7.5,40,70,1.056,1.070,1.008,1.014,6,14
DIPA,7.5,10.0,60,120,1.065,1.085,1.008,1.018,6,14
ESB,4.6,6.2,30,50,1.048,1.060,1.010,1.016,8,18
Dubbel,6.0,7.6,15,25,1.062,1.075,1.008,1.018,10,17
Barleywine,8.0,12.0,50,100,1.080,1.120,1.016,1.030,10,19
Amber,4.5,6.2,25,40,1.045,1.060,1.010,1.015,10,17
Brown,4.3,6.2,20,30,1.045,1.060,1.010,1.016,18,35
Porter,4.8,6.5,25,50,1.050,1.070,1.012,1.018,22,40
Oatmeal Stout,4.2,5.9,25,40,1.045,1.065,1.010,1.018,22,40
Stout,5.0,7.0,35,75,1.050,1.075,1.010,1.022,30,40
Imperial Stout,8.0,12.0,50,90,1.075,1.115,1.018,1.030,30,40
Lager,4.2,5.3,8,18,1.040,1.050,1.004,1.010,2,4
Pilsner,4.4,5.2,22,40,1.044,1.050,1.008,1.013,2,5
Doppelbock,7.0,10.0,16,26,1.072,1.112,1.016,1.024,6,25
Marzen,5.8,6.3,18,24,1.054,1.060,1.010,1.014,8,17
Baltic Porter,6.5,9.5,20,40,1.060,1.090,1.016,1.024,17,30
